Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2020-05-20,2199208,28212,77.95,256236
2020-05-21,1223435,17631,69.39,313983
2020-05-22,2231671,31222,71.48,620499
2020-05-26,2184858,20637,105.87,589881
2020-05-27,1038328,12604,82.38,197866
2020-05-28,763842,11086,68.9,182025
2020-05-29,1851956,28003,66.13,490924
2020-06-01,1955035,19995,97.78,226680
2020-06-02,1116273,15400,72.49,207032
2020-06-03,1268995,18007,70.47,251591
2020-06-04,631503,9374,67.37,130468
2020-06-05,3259284,32677,99.74,859219
2020-06-08,3126145,39476,79.19,750658
2020-06-09,1899239,19777,96.03,388731
2020-06-10,774321,14856,52.12,171721
2020-06-11,640867,12496,51.29,103365
2020-06-12,958352,21774,44.01,98650
2020-06-15,795900,20599,38.64,104139
2020-06-16,923482,20201,45.71,114675
2020-06-17,1077083,17592,61.23,280453
2020-06-18,680084,9851,69.04,249180
2020-06-19,913519,11082,82.43,335729
2020-06-22,852730,14210,60.01,291768
2020-06-23,501119,6760,74.13,141949
2020-06-24,1041667,13618,76.49,237036
2020-06-25,2133942,24759,86.19,409262
2020-06-26,805928,16942,47.57,180813
2020-06-29,769971,12822,60.05,139224
2020-06-30,580098,6797,85.35,154577
2020-07-01,997028,16257,61.33,156642
2020-07-02,929558,10543,88.17,108334
2020-07-03,1625500,17723,91.72,184280
2020-07-06,1372535,15803,86.85,215477
2020-07-07,2191888,34028,64.41,288131
2020-07-08,1184586,18503,64.02,105048
2020-07-09,537231,9425,57.0,215673
2020-07-10,422896,7570,55.86,116732
2020-07-13,568418,6701,84.83,210722
2020-07-14,387120,8720,44.39,95110
2020-07-15,2150793,31135,69.08,369034
2020-07-16,652435,11460,56.93,116749
2020-07-17,325701,4769,68.3,67411
2020-07-20,384455,4979,77.22,72818
2020-07-21,544144,7128,76.34,226236
2020-07-22,2674130,16977,157.51,1821674
2020-07-23,850570,7498,113.44,290752
2020-07-24,1157026,13734,84.25,309305
2020-07-27,597429,9333,64.01,318545
2020-07-28,525146,7099,73.97,264673
2020-07-29,792055,16168,48.99,235108
2020-07-30,776406,13927,55.75,204227
2020-07-31,1305227,15721,83.02,678091
2020-08-03,1965396,26830,73.25,708835
2020-08-04,1119291,19724,56.75,309795
2020-08-05,593494,7081,83.81,220609
2020-08-06,770509,9987,77.15,123355
2020-08-07,13115820,108019,121.42,1879454
2020-08-10,1520418,19942,76.24,478079
2020-08-11,1329916,21731,61.2,455360
2020-08-12,3651314,35187,103.77,806291
2020-08-13,1102005,11854,92.96,484757
2020-08-14,994886,16007,62.15,519040
2020-08-17,2959037,35151,84.18,637673
2020-08-18,889297,14950,59.48,262674
2020-08-19,716759,8681,82.57,164006
2020-08-20,5473259,56425,97.0,946428
2020-08-21,2927261,35192,83.18,566128
2020-08-24,1062974,16814,63.22,313649
2020-08-25,1230752,15613,78.83,238130
2020-08-26,777848,8994,86.49,121458
2020-08-27,881069,21920,40.19,265566
2020-08-28,1451691,22277,65.17,345329
2020-08-31,991455,39862,24.87,227727
2020-09-01,2312626,67453,34.28,551377
2020-09-02,762293,27005,28.23,179415
2020-09-03,672460,26360,25.51,187282
2020-09-04,843285,21180,39.82,240105
2020-09-07,746425,9055,82.43,153678
2020-09-08,585735,9100,64.37,118669
2020-09-09,652515,7503,86.97,158423
2020-09-10,424065,4763,89.03,50242
2020-09-11,480312,6320,76.0,112675
2020-09-14,817900,8350,97.95,234765
2020-09-15,791391,8061,98.18,215482
2020-09-16,1087986,10633,102.32,321633
2020-09-17,675473,7673,88.03,119337
2020-09-18,1164441,9089,128.12,649496
2020-09-21,3345863,18290,182.93,1062419
2020-09-22,862320,8880,97.11,146690
2020-09-23,615894,7796,79.0,103747
2020-09-24,739704,8313,88.98,126525
2020-09-25,574683,6473,88.78,80376
2020-09-29,1324980,10641,124.52,122890
2020-09-30,429907,5330,80.66,45248
2020-10-01,1471328,18366,80.11,368256
2020-10-05,789481,15013,52.59,246261
2020-10-06,647688,15034,43.08,194381
2020-10-07,867193,9442,91.84,260558
2020-10-08,416959,5181,80.48,123715
2020-10-09,648976,6784,95.66,224834
2020-10-12,566065,9224,61.37,177228
2020-10-13,574956,6502,88.43,139535
2020-10-14,490250,5212,94.06,95835
2020-10-15,530363,9687,54.75,86944
2020-10-16,706570,10291,68.66,172121
2020-10-19,617431,7565,81.62,57504
2020-10-20,372741,4158,89.64,64203
2020-10-21,513669,9024,56.92,117459
2020-10-22,2891645,27810,103.98,1271132
