Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-11-22,15636034,366328,42.68,7311030,
2022-11-23,2346053,69960,33.53,820020,
2022-11-24,1689717,49871,33.88,587495,
2022-11-25,1915106,71866,26.65,643701,
2022-11-28,759905,28947,26.25,265523,
2022-11-29,462934,18094,25.58,188725,
2022-11-30,347873,14071,24.72,172863,
2022-12-01,279131,12731,21.93,146173,
2022-12-02,328645,14788,22.22,127810,
2022-12-05,238342,11759,20.27,112786,
2022-12-06,155237,5870,26.45,65916,
2022-12-07,1160261,40503,28.65,341950,
2022-12-08,212406,8590,24.73,72439,
2022-12-09,299354,21781,13.74,123686,
2022-12-12,171216,9982,17.15,75182,
2022-12-13,144431,18835,7.67,78584,
2022-12-14,141865,18758,7.56,84149,
2022-12-15,90870,5690,15.97,45714,
2022-12-16,91513,6048,15.13,44931,
2022-12-19,145490,8544,17.03,102098,
2022-12-20,159281,9864,16.15,90038,
2022-12-21,237160,14949,15.86,148340,
2022-12-22,200700,14741,13.62,101776,
2022-12-23,177531,12673,14.01,108863,
2022-12-26,133235,10004,13.32,58510,
2022-12-27,123539,7216,17.12,49932,
2022-12-28,196026,10984,17.85,89845,
2022-12-29,172325,8476,20.33,86612,
2022-12-30,130907,11714,11.18,72556,
2023-01-02,67794,4628,14.65,22816,
2023-01-03,43130,2147,20.09,19881,
2023-01-04,143152,8245,17.36,63302,
2023-01-05,65554,3904,16.79,30012,
2023-01-06,487821,24459,19.94,184995,
2023-01-09,153238,10611,14.44,63391,
2023-01-10,189874,10162,18.68,73584,
2023-01-11,52191,3719,14.03,27034,
2023-01-12,35001,3019,11.59,13210,
2023-01-13,40097,2816,14.24,20003,
2023-01-16,102004,7019,14.53,44678,
2023-01-17,465856,23172,20.1,135665,
2023-01-18,213125,11990,17.78,108553,
2023-01-19,393381,18377,21.41,146109,
2023-01-20,96442,9968,9.68,49915,
2023-01-23,145124,7457,19.46,65959,
2023-01-24,173288,6788,25.53,111562,
2023-01-25,92841,6047,15.35,45717,
2023-01-27,158601,9246,17.15,77369,
2023-01-30,126959,9606,13.22,70613,
2023-01-31,118704,8899,13.34,64594,
2023-02-01,530852,32783,16.19,278478,
2023-02-02,308577,24110,12.8,152810,
2023-02-03,197649,12994,15.21,115066,
2023-02-06,413977,24028,17.23,200442,
2023-02-07,354212,20208,17.53,180975,
2023-02-08,140532,9876,14.23,60461,
2023-02-09,91113,7208,12.64,36935,
2023-02-10,202483,9638,21.01,106846,
2023-02-13,296630,18890,15.7,94600,
2023-02-14,164004,16003,10.25,75838,
2023-02-15,230105,16911,13.61,76755,
2023-02-16,473555,20066,23.6,337513,
2023-02-17,166777,12384,13.47,113482,
2023-02-20,177031,10851,16.31,94181,
2023-02-21,538767,21635,24.9,255249,
2023-02-22,448429,19835,22.61,222782,
2023-02-23,183525,7746,23.69,90946,
2023-02-24,222303,10258,21.67,129008,
2023-02-27,322988,13450,24.01,217173,
2023-02-28,162528,11050,14.71,71555,
2023-03-01,187788,13878,13.53,59055,
2023-03-02,96484,6508,14.83,30395,
2023-03-03,233726,7393,31.61,185656,
2023-03-06,151329,7601,19.91,85824,
2023-03-08,323226,26922,12.01,185017,
2023-03-09,223091,13151,16.96,86263,
2023-03-10,253444,9859,25.71,166089,
2023-03-13,333296,20194,16.5,125910,
2023-03-14,112062,6811,16.45,34432,
2023-03-15,234946,15675,14.99,55121,
2023-03-16,192562,12402,15.53,107951,
2023-03-17,113098,5648,20.02,53846,
2023-03-20,164900,9994,16.5,86103,
2023-03-21,342737,11761,29.14,255043,
2023-03-22,55518,3786,14.66,22438,
2023-03-23,275786,11555,23.87,191265,
2023-03-24,241980,4360,55.5,191338,
2023-03-27,85217,8165,10.44,27327,
2023-03-28,71864,4651,15.45,31421,
2023-03-29,145208,5058,28.71,109907,
2023-03-31,188618,10380,18.17,131732,
2023-04-03,313837,19714,15.92,113264,
2023-04-05,180229,12221,14.75,79638,
2023-04-06,122040,8355,14.61,54922,
2023-04-10,132428,8730,15.17,77775,
2023-04-11,192481,17100,11.26,96824,
2023-04-12,83849,7402,11.33,34316,
2023-04-13,71988,6679,10.78,27726,
2023-04-17,320712,10752,29.83,222184
2023-04-18,57062,6850,8.33,21741
2023-04-19,58490,5974,9.79,23987
2023-04-20,44406,4328,10.26,15260
2023-04-21,61339,4784,12.82,24833
2023-04-24,73246,5594,13.09,34359
2023-04-25,39601,4655,8.51,15164
2023-04-26,36865,4015,9.18,16912
2023-04-27,72221,6276,11.51,29314
2023-04-28,85768,7227,11.87,50750
2023-05-02,78820,8589,9.18,44993
2023-05-03,77073,7884,9.78,30645
2023-05-04,81122,7572,10.71,42152
2023-05-05,57132,6110,9.35,26700
2023-05-08,53538,5448,9.83,30653
2023-05-09,81475,5428,15.01,46853
2023-05-10,38825,3493,11.12,17139
2023-05-11,178563,10669,16.74,103383
2023-05-12,158028,13944,11.33,67782
2023-05-15,87957,8647,10.17,54721
2023-05-16,60066,7696,7.8,31732
2023-05-17,2040425,76420,26.7,492357
2023-05-18,1302237,68493,19.01,225939
2023-05-19,497522,27016,18.42,79550
2023-05-22,795947,43970,18.1,192158
