Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-08-19,3618,215,16.83,1408,
2022-08-22,1080743,806,1340.87,84364,
2022-08-23,19031,215,88.52,8241,
2022-08-24,28738,166,173.12,12814,
2022-08-25,20443,174,117.49,11038,
2022-08-26,13039,169,77.15,7414,
2022-08-29,4708,138,34.12,3455,
2022-08-30,16265,132,123.22,13375,
2022-09-01,20993,368,57.05,15446,
2022-09-02,18012,197,91.43,11179,
2022-09-05,9383,195,48.12,6813,
2022-09-06,13603,158,86.09,8506,
2022-09-07,5703,127,44.91,3419,
2022-09-08,7210,133,54.21,5513,
2022-09-09,19784,226,87.54,10278,
2022-09-12,19426,245,79.29,9854,
2022-09-13,79030,422,187.27,47971,
2022-09-14,19627,162,121.15,13220,
2022-09-15,18867,192,98.27,10271,
2022-09-16,32721,226,144.78,17348,
2022-09-19,16914,213,79.41,5546,
2022-09-20,12630,273,46.26,5672,
2022-09-21,29250,262,111.64,13988,
2022-09-22,22868,230,99.43,12778,
2022-09-23,25935,184,140.95,13482,
2022-09-26,16556,174,95.15,6872,
2022-09-27,31300,200,156.5,14535,
2022-09-28,10351,121,85.55,1777,
2022-09-29,4091,98,41.74,3106,
2022-09-30,36909,224,164.77,22128,
2022-10-03,14532,163,89.15,6501,
2022-10-04,18489,165,112.05,7824,
2022-10-06,7940,143,55.52,3207,
2022-10-07,9042,132,68.5,6651,
2022-10-10,14626,148,98.82,6702,
2022-10-11,8946,138,64.83,4980,
2022-10-12,8599,118,72.87,1838,
2022-10-13,6539,85,76.93,4188,
2022-10-14,2189,126,17.37,1124,
2022-10-17,18664,129,144.68,10570,
2022-10-18,13082,118,110.86,5998,
2022-10-19,4240,104,40.77,3707,
2022-10-20,12270,118,103.98,6368,
2022-10-21,12645,156,81.06,11028,
2022-10-24,18036,179,100.76,15385,
2022-10-25,7412,164,45.2,6320,
2022-10-27,6700,159,42.14,5078,
2022-10-28,13057,127,102.81,6895,
2022-10-31,195947,181,1082.58,190662,
2022-11-01,21428,196,109.33,10653,
2022-11-02,12379,133,93.08,7441,
2022-11-03,9288,152,61.11,4251,
2022-11-04,3862,114,33.88,3044,
2022-11-07,30799,228,135.08,18170,
2022-11-09,15107,239,63.21,7063,
2022-11-10,10178,157,64.83,2504,
2022-11-11,17159,208,82.5,9812,
2022-11-14,28503,200,142.51,16542,
2022-11-15,28503,200,142.51,16542,
2022-11-16,38344,182,210.68,8893,
2022-11-17,32096,204,157.33,7933,
2022-11-18,25878,348,74.36,3797,
2022-11-21,21535,175,123.06,10942,
2022-11-22,67002,223,300.46,38466,
2022-11-23,19439,302,64.37,6999,
2022-11-24,21854,242,90.31,4548,
2022-11-25,17188,335,51.31,3869,
2022-11-28,38402,301,127.58,18755,
2022-11-29,29619,332,89.21,9522,
2022-11-30,30222,328,92.14,8856,
2022-12-01,78960,441,179.05,24066,
2022-12-02,74361,542,137.2,31736,
2022-12-05,92055,434,212.11,25647,
2022-12-06,48043,345,139.26,19554,
2022-12-07,55151,496,111.19,27698,
2022-12-08,10976,182,60.31,2439,
2022-12-09,15168,216,70.22,7925,
2022-12-12,78504,571,137.49,10283,
2022-12-13,50740,273,185.86,17389,
2022-12-14,40427,503,80.37,9499,
2022-12-15,20829,193,107.92,5826,
2022-12-16,28590,363,78.76,13462,
2022-12-19,16406,205,80.03,4207,
2022-12-20,38749,300,129.16,16279,
2022-12-21,33137,349,94.95,12093,
2022-12-22,36506,194,188.18,17379,
2022-12-23,47017,263,178.77,13012,
2022-12-26,44726,329,135.95,28721,
2022-12-27,32316,229,141.12,19903,
2022-12-28,26843,295,90.99,11538,
2022-12-29,10801,178,60.68,2685,
2022-12-30,6060,198,30.61,3909,
2023-01-02,17921,271,66.13,9946,
2023-01-03,18445,279,66.11,7996,
2023-01-04,44436,317,140.18,20645,
2023-01-05,22060,312,70.71,5253,
2023-01-06,20691,262,78.97,6739,
2023-01-09,32040,358,89.5,7195,
