Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-11-21,22187351,333110,66.61,12774210,
2022-11-22,4464605,106875,41.77,1985266,
2022-11-23,1736495,63274,27.44,1067528,
2022-11-24,4878787,91444,53.35,2027156,
2022-11-25,3312638,128476,25.78,1136848,
2022-11-28,1577078,36118,43.66,561585,
2022-11-29,885600,20112,44.03,361623,
2022-11-30,469673,15957,29.43,249900,
2022-12-01,547914,22263,24.61,237266,
2022-12-02,270405,10870,24.88,87068,
2022-12-05,410127,15088,27.18,129785,
2022-12-06,235149,7677,30.63,90316,
2022-12-07,490412,19603,25.02,174623,
2022-12-08,422580,13779,30.67,196756,
2022-12-09,235446,9545,24.67,93157,
2022-12-12,351782,13889,25.33,183206,
2022-12-13,741309,27320,27.13,247548,
2022-12-14,316805,12420,25.51,137386,
2022-12-15,367466,15743,23.34,196379,
2022-12-16,509306,16070,31.69,348596,
2022-12-19,140417,4905,28.63,72819,
2022-12-20,109997,9769,11.26,68606,
2022-12-21,326458,15241,21.42,150138,
2022-12-22,533055,24528,21.73,263574,
2022-12-23,295703,14415,20.51,150445,
2022-12-26,195031,14934,13.06,79407,
2022-12-27,309484,13679,22.62,130611,
2022-12-28,201311,17320,11.62,80852,
2022-12-29,293939,13996,21.0,208242,
2022-12-30,151449,11372,13.32,87572,
2023-01-02,188657,6888,27.39,125351,
2023-01-03,85226,4096,20.81,51381,
2023-01-04,258179,9886,26.12,122243,
2023-01-05,797190,38197,20.87,278449,
2023-01-06,524972,32262,16.27,210050,
2023-01-09,166981,8034,20.78,70763,
2023-01-10,145658,7848,18.56,61603,
2023-01-11,165310,9712,17.02,72576,
2023-01-12,144471,8173,17.68,48556,
2023-01-13,1417432,48782,29.06,407420,
2023-01-16,709501,25914,27.38,197294,
2023-01-17,219546,9322,23.55,73199,
2023-01-18,391405,14534,26.93,185004,
2023-01-19,174650,9322,18.74,102686,
2023-01-20,224041,12946,17.31,78819,
2023-01-23,248054,12894,19.24,108440,
2023-01-24,1333094,28438,46.88,673169,
2023-01-25,473741,21813,21.72,222209,
2023-01-27,317561,17553,18.09,137368,
2023-01-30,167060,11706,14.27,60458,
2023-01-31,191098,11527,16.58,89994,
2023-02-01,163414,11065,14.77,60330,
2023-02-02,190407,16361,11.64,91318,
2023-02-03,148144,11711,12.65,40569,
2023-02-06,251998,21638,11.65,93357,
2023-02-07,104797,10063,10.41,40586,
2023-02-08,142665,9206,15.5,66382,
2023-02-09,179986,13775,13.07,48055,
2023-02-10,354949,31658,11.21,150396,
2023-02-13,781247,34320,22.76,200934,
2023-02-14,815168,37789,21.57,340018,
2023-02-15,478718,24328,19.68,259936,
2023-02-16,311898,23545,13.25,98240,
2023-02-17,245245,14243,17.22,54562,
2023-02-20,236415,20347,11.62,104552,
2023-02-21,590176,17969,32.84,361947,
2023-02-22,408904,13550,30.18,276024,
2023-02-23,201969,16606,12.16,113586,
2023-02-24,359875,29424,12.23,224883,
2023-02-27,989436,28015,35.32,291303,
2023-02-28,682925,17522,38.98,457639,
2023-03-01,118949,5139,23.15,62999,
2023-03-02,128127,7893,16.23,71430,
2023-03-03,147645,11596,12.73,77905,
2023-03-06,174698,8013,21.8,112052,
2023-03-08,78921,4540,17.38,41667,
2023-03-09,83688,5048,16.58,39286,
2023-03-10,118547,7633,15.53,61061,
2023-03-13,203997,13430,15.19,93202,
2023-03-14,120020,9252,12.97,46484,
2023-03-15,102240,6699,15.26,50236,
2023-03-16,192953,15892,12.14,127156,
2023-03-17,184140,11253,16.36,112693,
2023-03-20,336443,4523,74.38,298461,
2023-03-21,85903,5178,16.59,43898,
2023-03-22,36897,3545,10.41,16536,
2023-03-23,171664,11297,15.2,101898,
2023-03-24,96928,5498,17.63,43564,
2023-03-27,153380,7249,21.16,89397,
2023-03-28,185367,6234,29.73,119297,
2023-03-29,497621,9724,51.17,199765,
2023-03-31,110896,8285,13.39,66519,
2023-04-03,530973,5364,98.99,496946,
2023-04-05,192919,6502,29.67,149267,
2023-04-06,110876,7779,14.25,64494,
2023-04-10,77196,4358,17.71,49005,
2023-04-11,88766,7077,12.54,33306,
2023-04-12,75481,7008,10.77,37890,
2023-04-13,417231,21003,19.87,225471,
2023-04-17,387789,20825,18.62,249644
2023-04-18,244800,13599,18.0,115166
2023-04-19,208263,17867,11.66,103888
2023-04-20,98906,7589,13.03,58013
2023-04-21,429336,20162,21.29,254162
2023-04-24,178753,11656,15.34,92781
2023-04-25,183746,10666,17.23,121390
2023-04-26,90932,5616,16.19,60547
2023-04-27,140501,9407,14.94,81936
2023-04-28,51762,3561,14.54,22870
2023-05-02,112550,9797,11.49,49859
2023-05-03,39598,3637,10.89,19053
2023-05-04,78562,5482,14.33,37365
2023-05-05,68551,6247,10.97,36603
2023-05-08,74775,9136,8.18,37788
2023-05-09,75758,6223,12.17,40112
2023-05-10,79842,5834,13.69,36239
2023-05-11,100476,5510,18.24,59260
2023-05-12,157427,5692,27.66,107004
2023-05-15,194808,9291,20.97,117551
2023-05-16,93111,5646,16.49,44165
2023-05-17,58609,4956,11.83,28781
2023-05-18,100237,4167,24.05,71079
2023-05-19,64402,4864,13.24,34105
2023-05-22,47235,3357,14.07,27863
