Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-11-30,32093,203,158.09,29344,
2022-12-01,265377,819,324.03,119988,
2022-12-02,32108,172,186.67,23838,
2022-12-05,41344,159,260.03,25053,
2022-12-06,13671,97,140.94,8256,
2022-12-07,23905,113,211.55,12062,
2022-12-08,5578,74,75.38,3010,
2022-12-09,19150,118,162.29,13437,
2022-12-12,35534,241,147.44,20380,
2022-12-13,15020,85,176.71,7142,
2022-12-14,29465,140,210.46,17803,
2022-12-15,16396,121,135.5,5356,
2022-12-16,45425,167,272.01,22999,
2022-12-19,10170,67,151.79,5607,
2022-12-20,17341,133,130.38,6913,
2022-12-21,19772,87,227.26,17784,
2022-12-22,8162,109,74.88,4491,
2022-12-23,8710,74,117.7,5527,
2022-12-26,27509,232,118.57,21981,
2022-12-27,22171,94,235.86,17383,
2022-12-28,26203,90,291.14,17957,
2022-12-29,41851,88,475.58,13525,
2022-12-30,59289,114,520.08,21697,
2023-01-02,5251,80,65.64,2826,
2023-01-03,11429,87,131.37,9878,
2023-01-04,21472,83,258.7,18564,
2023-01-05,22187,107,207.36,12065,
2023-01-06,19143,152,125.94,11298,
2023-01-09,9886,125,79.09,5620,
2023-01-10,13250,111,119.37,6181,
2023-01-11,11936,62,192.52,8569,
2023-01-12,8386,74,113.32,4887,
2023-01-13,15046,99,151.98,6773
2023-01-16,13475,111,121.4,6243
2023-01-17,10282,62,165.84,5835
2023-01-18,2609,48,54.35,1710
2023-01-19,2085,49,42.55,1603
2023-01-20,4022,78,51.56,2936
2023-01-23,2190,46,47.61,1240
2023-01-24,1272,59,21.56,926
2023-01-25,10639,83,128.18,10222
2023-01-27,26720,181,147.62,20797
2023-01-30,13107,53,247.3,9027
2023-01-31,13876,47,295.23,11676
2023-02-01,103051,238,432.99,75497
2023-02-02,25622,134,191.21,16354
2023-02-03,10611,95,111.69,6578
2023-02-06,15937,88,181.1,13382
