Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-09-15,2143945,34948,61.35,2143945,
2022-09-16,215374,11368,18.95,215374,
2022-09-19,140252,6764,20.74,140252,
2022-09-20,171893,6859,25.06,171893,
2022-09-21,201612,5263,38.31,146765,
2022-09-22,82122,3654,22.47,64523,
2022-09-23,100865,5506,18.32,86584,
2022-09-26,101873,7253,14.05,74457,
2022-09-27,61227,4047,15.13,45942,
2022-09-28,55243,4673,11.82,38335,
2022-09-29,64806,3247,19.96,43748,
2022-09-30,38768,3455,11.22,28910,
2022-10-03,47950,4524,10.6,31063,
2022-10-04,47965,4240,11.31,32829,
2022-10-06,45865,2848,16.1,27162,
2022-10-07,29209,2587,11.29,21940,
2022-10-10,47816,3168,15.09,33570,
2022-10-11,32487,3017,10.77,23539,
2022-10-12,85227,5607,15.2,62548,
2022-10-13,65116,5054,12.88,44714,
2022-10-14,51978,2984,17.42,37336,
2022-10-17,131322,5635,23.3,76723,
2022-10-18,63348,3503,18.08,42920,
2022-10-19,117064,5541,21.13,68075,
2022-10-20,48288,3361,14.37,34344,
2022-10-21,29622,2504,11.83,16010,
2022-10-24,13949,1126,12.39,9711,
2022-10-25,25312,1743,14.52,18309,
2022-10-27,593555,17537,33.85,260852,
2022-10-28,143964,6354,22.66,84386,
2022-10-31,79569,3163,25.16,53570,
2022-11-01,35234,2503,14.08,23142,
2022-11-02,63561,3646,17.43,50500,
2022-11-03,83741,5124,16.34,41667,
2022-11-04,53774,4663,11.53,29501,
2022-11-07,197647,8278,23.88,112272,
2022-11-09,103488,6105,16.95,69604,
2022-11-10,55708,4539,12.27,34955,
2022-11-11,78811,4338,18.17,42556,
2022-11-14,53761,3777,14.23,37739,
2022-11-15,53761,3777,14.23,37739,
2022-11-16,34580,2654,13.03,21436,
2022-11-17,118103,2255,52.37,62077,
2022-11-18,57353,3574,16.05,41299,
2022-11-21,240335,6107,39.35,178712,
2022-11-22,578808,3841,150.69,212085,
2022-11-23,41073,2755,14.91,26913,
2022-11-24,45300,3064,14.78,31729,
2022-11-25,139484,4473,31.18,103631,
2022-11-28,45850,2085,21.99,34156,
2022-11-29,31723,1645,19.28,24066,
2022-11-30,33986,1557,21.83,26477,
2022-12-01,778679,27110,28.72,332933,
2022-12-02,72437,4843,14.96,41188,
2022-12-05,51363,3946,13.02,30491,
2022-12-06,88458,5545,15.95,49432,
2022-12-07,33507,2472,13.55,16547,
2022-12-08,92381,4390,21.04,43052,
2022-12-09,49771,4636,10.74,30526,
2022-12-12,150892,4425,34.1,61772,
2022-12-13,171040,6282,27.23,89741,
2022-12-14,123205,6910,17.83,73204,
2022-12-15,130363,5392,24.18,72099,
2022-12-16,150055,3781,39.69,88477,
2022-12-19,116152,6181,18.79,80670,
2022-12-20,197361,3223,61.24,151800,
2022-12-21,147657,5537,26.67,96904,
2022-12-22,111304,4767,23.35,67116,
2022-12-23,75194,5565,13.51,46208,
2022-12-26,78651,3669,21.44,43906,
2022-12-27,32586,2168,15.03,15859,
2022-12-28,70234,3796,18.5,39294,
2022-12-29,36884,3784,9.75,27921,
2022-12-30,72140,4123,17.5,45484,
2023-01-02,65336,3286,19.88,43844,
2023-01-03,82224,3426,24.0,39965,
2023-01-04,97125,5027,19.32,58299,
2023-01-05,63906,6293,10.16,43030,
2023-01-06,33810,3933,8.6,20533,
2023-01-09,54440,4566,11.92,31870,
2023-01-10,32309,2698,11.98,22136,
2023-01-11,52333,3538,14.79,27213,
2023-01-12,44086,3360,13.12,24785,
2023-01-13,32519,1883,17.27,21129,
2023-01-16,20806,2139,9.73,11482,
2023-01-17,36039,2016,17.88,24576,
2023-01-18,27785,2679,10.37,19542,
2023-01-19,34677,2322,14.93,24073,
2023-01-20,41144,3032,13.57,33356,
2023-01-23,100932,4897,20.61,32923,
2023-01-24,32665,1943,16.81,23258,
2023-01-25,51735,5052,10.24,36441,
2023-01-27,49734,6432,7.73,30985,
2023-01-30,34753,3909,8.89,21805,
2023-01-31,42854,3714,11.54,28327,
2023-02-01,27042,3244,8.34,14739,
2023-02-02,31302,4411,7.1,18336,
2023-02-03,22201,3091,7.18,13912,
2023-02-06,21665,2534,8.55,11836,
2023-02-07,104966,8378,12.53,50393,
2023-02-08,198703,2420,82.11,162555,
2023-02-09,147619,9560,15.44,87159,
2023-02-10,484995,6369,76.15,141328,
2023-02-13,21991,2089,10.53,14586,
2023-02-14,28573,2490,11.48,21836,
2023-02-15,277713,11053,25.13,135350,
2023-02-16,116916,9147,12.78,59484,
2023-02-17,119702,8977,13.33,32390,
2023-02-20,53706,4562,11.77,27021,
2023-02-21,40272,3137,12.84,22573,
2023-02-22,40906,4994,8.19,23828,
2023-02-23,19288,2582,7.47,11110,
2023-02-24,25092,4241,5.92,14233,
2023-02-27,18978,3289,5.77,11209,
2023-02-28,18287,2736,6.68,11744,
2023-03-01,26868,2608,10.3,16436,
2023-03-02,23459,2598,9.03,15085,
2023-03-03,12607,1386,9.1,7957,
2023-03-06,16937,1891,8.96,11345,
2023-03-08,25062,2667,9.4,16389,
2023-03-09,18414,2117,8.7,11153,
2023-03-10,47406,7208,6.58,25965,
2023-03-13,256117,15753,16.26,165420,
2023-03-14,163946,11535,14.21,87553,
2023-03-15,223367,8952,24.95,151904,
2023-03-16,250914,15387,16.31,160343,
2023-03-17,193965,9745,19.9,152580,
2023-03-20,129754,10114,12.83,101550,
2023-03-21,62031,6268,9.9,48702,
2023-03-22,84239,6316,13.34,64241,
2023-03-23,94979,4565,20.81,68010,
2023-03-24,69050,4241,16.28,56682,
2023-03-27,103152,5587,18.46,79481,
2023-03-28,107548,9042,11.89,71332,
2023-03-29,130155,8757,14.86,86261,
2023-03-31,119991,5411,22.18,85146,
2023-04-03,75968,5109,14.87,51400,
2023-04-05,83282,6481,12.85,63993,
2023-04-06,79515,5252,15.14,58741,
2023-04-10,103338,8456,12.22,83169,
2023-04-11,49103,2672,18.38,36293,
2023-04-12,55928,5001,11.18,38087,
2023-04-13,64071,4738,13.52,38959,
2023-04-17,84971,5624,15.11,47146
2023-04-18,49366,3012,16.39,32389
2023-04-19,48118,4667,10.31,30173
2023-04-20,41763,3605,11.58,25008
2023-04-21,49655,3995,12.43,35862
