Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-11-22,33869,2266,14.95,25339,
2022-11-23,8672,927,9.35,5290,
2022-11-24,11723,1650,7.1,7798,
2022-11-25,7283,726,10.03,5094,
2022-11-28,10296,1456,7.07,6759,
2022-11-29,22569,2414,9.35,11705,
2022-11-30,21293,3085,6.9,10691,
2022-12-01,22352,2488,8.98,13657,
2022-12-02,27636,3839,7.2,14963,
2022-12-05,26600,3319,8.01,15237,
2022-12-06,65503,5965,10.98,24092,
2022-12-07,44077,5808,7.59,18429,
2022-12-08,41372,5103,8.11,9733,
2022-12-09,27632,3822,7.23,9689,
2022-12-12,14659,2439,6.01,8716,
2022-12-13,12395,1074,11.54,9496,
2022-12-14,13900,1967,7.07,8223,
2022-12-15,10056,1843,5.46,5069,
2022-12-16,11509,1822,6.32,6153,
2022-12-19,8326,1427,5.83,4998,
2022-12-20,20036,2153,9.31,10263,
2022-12-21,30083,3353,8.97,15817,
2022-12-22,19843,2717,7.3,8444,
2022-12-23,31522,3969,7.94,15718,
2022-12-26,17766,2508,7.08,8318,
2022-12-27,16112,2956,5.45,5728,
2022-12-28,117368,5638,20.82,64558,
2022-12-29,51248,4342,11.8,17064,
2022-12-30,24343,2356,10.33,9120,
2023-01-02,9633,1370,7.03,4273,
2023-01-03,8294,1137,7.29,3395,
2023-01-04,14718,1587,9.27,7528,
2023-01-05,10124,1033,9.8,5277,
2023-01-06,5467,659,8.3,3090,
2023-01-09,9152,876,10.45,6281,
2023-01-10,9552,893,10.7,5539,
2023-01-11,9860,1031,9.56,5503,
2023-01-12,11117,1279,8.69,7372,
2023-01-13,12289,1443,8.52,6537,
2023-01-16,9283,815,11.39,5454,
2023-01-17,2507,406,6.17,1392,
2023-01-18,8117,768,10.57,4318,
2023-01-19,7775,895,8.69,4531,
2023-01-20,39876,2895,13.77,20025,
2023-01-23,36008,1778,20.25,27667,
2023-01-24,12542,1063,11.8,8716,
2023-01-25,8638,1103,7.83,4819,
2023-01-27,13332,1284,10.38,10170,
2023-01-30,10792,1201,8.99,7057,
2023-01-31,4069,562,7.24,2497,
2023-02-01,22098,1806,12.24,16259,
2023-02-02,7671,703,10.91,4789,
2023-02-03,5811,935,6.21,3039,
2023-02-06,3462,394,8.79,2195,
2023-02-07,2576,437,5.89,1498,
2023-02-08,6644,692,9.6,3896,
2023-02-09,33040,4085,8.09,12347,
2023-02-10,5279,709,7.45,3082,
2023-02-13,7589,658,11.53,5447,
2023-02-14,6573,712,9.23,4413,
2023-02-15,3514,477,7.37,2234,
2023-02-16,3046,408,7.47,1273,
2023-02-17,9074,815,11.13,6079,
2023-02-20,3252,557,5.84,1578,
2023-02-21,9550,726,13.15,7095,
2023-02-22,5475,601,9.11,3539,
2023-02-23,5150,535,9.63,3452,
2023-02-24,5187,776,6.68,3155,
2023-02-27,5830,550,10.6,4195,
2023-02-28,2705,279,9.7,2119,
2023-03-01,8680,668,12.99,6460,
2023-03-02,5873,420,13.98,4028,
2023-03-03,9236,879,10.51,6213,
2023-03-06,28382,2610,10.87,18012,
2023-03-08,35556,4262,8.34,13816,
2023-03-09,39480,6445,6.13,8627,
2023-03-10,31504,2318,13.59,11089,
2023-03-13,28809,4010,7.18,9853,
2023-03-14,25471,2453,10.38,4890,
2023-03-15,22688,1064,21.32,1412,
2023-03-16,77116,2700,28.56,47297,
2023-03-17,24450,819,29.85,3265,
2023-03-20,39709,2491,15.94,12368,
2023-03-21,25625,933,27.47,2907,
2023-03-22,27613,1497,18.45,3988,
2023-03-23,27226,1034,26.33,4246,
2023-03-24,37667,4769,7.9,6387,
2023-03-27,32433,2150,15.09,7006,
2023-03-28,33044,2371,13.94,10701,
2023-03-29,34938,3864,9.04,7869,
2023-03-31,30233,1324,22.83,7715,
2023-04-03,37336,2423,15.41,13128,
2023-04-05,197825,12493,15.83,74436,
2023-04-06,37004,4037,9.17,12374,
2023-04-10,134392,13427,10.01,45393,
2023-04-11,51678,5483,9.43,15653,
2023-04-12,38255,1538,24.87,18758,
2023-04-13,45430,1031,44.06,16945,
2023-04-17,48332,1092,44.26,13633
2023-04-18,101325,3336,30.37,37694
2023-04-19,57486,3154,18.23,28586
2023-04-20,247274,15898,15.55,113469
2023-04-21,252779,18022,14.03,92750
2023-04-24,76594,5564,13.77,26292
2023-04-25,76246,5016,15.2,37979
2023-04-26,57344,4133,13.87,15003
2023-04-27,65453,2726,24.01,16687
2023-04-28,61690,4773,12.92,27454
2023-05-02,85062,5560,15.3,45286
2023-05-03,68732,4020,17.1,18460
2023-05-04,23321,2450,9.52,12412
2023-05-05,33743,3713,9.09,10318
2023-05-08,30598,1339,22.85,4534
2023-05-09,32706,1840,17.77,8737
2023-05-10,44279,2246,19.71,12845
2023-05-11,33611,1648,20.4,4198
2023-05-12,34835,1576,22.1,8110
2023-05-15,26246,1606,16.34,7093
2023-05-16,37590,1870,20.1,12401
2023-05-17,39661,2280,17.4,9552
2023-05-18,42390,3076,13.78,13572
2023-05-19,42003,2325,18.07,6128
2023-05-22,102084,6742,15.14,53129
