Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-11-24,5863701,101752,57.63,3576945,
2022-11-25,1579954,38188,41.37,555142,
2022-11-28,352849,13586,25.97,171333,
2022-11-29,558162,11919,46.83,194703,
2022-11-30,224303,6131,36.59,81815,
2022-12-01,136774,4115,33.24,76322,
2022-12-02,82293,3607,22.81,35612,
2022-12-05,99495,4171,23.85,41530,
2022-12-06,92535,3290,28.13,50700,
2022-12-07,127726,3381,37.78,67910,
2022-12-08,153510,4877,31.48,100369,
2022-12-09,174456,6865,25.41,80827,
2022-12-12,44914,2788,16.11,25744,
2022-12-13,35400,1676,21.12,25494,
2022-12-14,74468,3635,20.49,38158,
2022-12-15,83762,6884,12.17,41883,
2022-12-16,39355,3016,13.05,18605,
2022-12-19,74992,5267,14.24,31414,
2022-12-20,39583,2202,17.98,26145,
2022-12-21,48830,4112,11.88,26193,
2022-12-22,43043,3164,13.6,25638,
2022-12-23,88798,3080,28.83,71102,
2022-12-26,29657,4920,6.03,14001,
2022-12-27,41321,4647,8.89,29713,
2022-12-28,44717,3652,12.24,28908,
2022-12-29,37341,3121,11.96,26333,
2022-12-30,44788,2674,16.75,27508,
2023-01-02,145054,5239,27.69,47858
2023-01-03,273958,8887,30.83,109127
2023-01-04,27369,1871,14.63,14026
2023-01-05,48679,3312,14.7,20118
2023-01-06,27431,1782,15.39,16357
