Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2021-08-05,8677,86,100.9,7379
2021-08-06,53572,386,138.79,32385
2021-08-09,1194541,899,1328.74,493893
2021-08-10,161039,780,206.46,103210
2021-08-11,91040,394,231.07,65071
2021-08-12,39567,202,195.88,26032
2021-08-13,42744,275,155.43,31527
2021-08-16,69131,373,185.34,51535
2021-08-17,11796,128,92.16,9671
2021-08-18,14291,202,70.75,9410
2021-08-20,11352,121,93.82,7967
2021-08-23,11898,182,65.37,9631
2021-08-24,128129,341,375.74,63210
2021-08-25,9869,115,85.82,7431
2021-08-26,2652,70,37.89,2149
2021-08-27,87665,246,356.36,41831
2021-08-30,24376,228,106.91,18278
2021-08-31,783091,1821,430.03,450437
2021-09-01,191509,1192,160.66,140732
2021-09-02,74616,514,145.17,45645
2021-09-03,70770,550,128.67,60293
2021-09-06,59648,566,105.39,44622
2021-09-07,62301,551,113.07,39377
2021-09-08,115529,743,155.49,87225
2021-09-09,65204,628,103.83,45679
2021-09-13,67376,485,138.92,46513
2021-09-14,69321,505,137.27,40012
2021-09-15,383406,1431,267.93,234243
2021-09-16,271667,1047,259.47,92245
2021-09-17,213969,642,333.29,79165
2021-09-20,332848,785,424.01,217523
2021-09-21,119463,312,382.89,50876
2021-09-22,908934,2117,429.35,489773
2021-09-23,112524,652,172.58,90007
2021-09-24,83023,669,124.1,52583
2021-09-27,74742,382,195.66,53130
2021-09-28,270671,1293,209.34,152612
2021-09-29,78736,464,169.69,54792
2021-09-30,2090616,2315,903.07,1122397
2021-10-01,166394,756,220.1,112644
2021-10-04,1092171,2073,526.86,498269
2021-10-05,399170,2298,173.7,248020
2021-10-06,212395,851,249.58,180857
2021-10-07,226613,1055,214.8,152533
2021-10-08,66936,443,151.1,57917
2021-10-11,78711,541,145.49,68083
2021-10-12,105294,559,188.36,83825
2021-10-13,437409,626,698.74,257537
2021-10-14,65606,366,179.25,51420
2021-10-18,275657,963,286.25,150850
2021-10-19,229303,888,258.22,194341
2021-10-20,65325,412,158.56,43934
2021-10-21,53872,280,192.4,31895
2021-10-22,25661,247,103.89,18905
2021-10-25,38508,270,142.62,20833
2021-10-26,36861,224,164.56,28618
2021-10-27,184784,286,646.1,126028
2021-10-28,22428,193,116.21,14353
2021-10-29,42650,246,173.37,26363
2021-11-01,166706,395,422.04,91595
2021-11-02,401657,900,446.29,187268
2021-11-03,21060,202,104.26,17575
2021-11-04,21060,202,104.26,17575
2021-11-08,32470,227,143.04,26218
2021-11-09,30396,161,188.8,26683
2021-11-10,17882,166,107.72,16462
2021-11-11,26747,216,123.83,19860
2021-11-12,43385,227,191.12,23713
2021-11-15,16740,157,106.62,12554
2021-11-16,19617,149,131.66,16296
2021-11-17,91738,469,195.6,74821
2021-11-18,85789,401,213.94,58937
2021-11-22,53995,328,164.62,42644
2021-11-23,83818,248,337.98,67156
2021-11-24,108351,322,336.49,85024
2021-11-25,45264,297,152.4,24104
2021-11-26,97207,294,330.64,77318
2021-11-29,107110,253,423.36,104474
2021-11-30,36004,233,154.52,24930
2021-12-01,21224,147,144.38,12797
2021-12-02,35404,126,280.98,31231
2021-12-03,76421,164,465.98,74275
2021-12-06,143140,302,473.97,107879
2021-12-07,122430,191,640.99,104815
2021-12-08,27303,142,192.27,26599
2021-12-09,275629,751,367.02,45839
2021-12-10,37182,365,101.87,21697
2021-12-13,14647,161,90.98,12156
2021-12-14,25974,187,138.9,16823
2021-12-15,25394,231,109.93,17618
2021-12-16,30416,239,127.26,27650
2021-12-17,12452,113,110.19,11924
2021-12-20,91394,383,238.63,58535
2021-12-21,16939,162,104.56,13640
2021-12-22,16337,185,88.31,15044
2021-12-23,45660,176,259.43,39618
2021-12-24,79382,210,378.01,71619
2021-12-27,1002079,350,2863.08,982273
2021-12-28,525239,470,1117.53,468010
2021-12-29,822369,336,2447.53,817118
2021-12-30,370211,711,520.69,259431
2021-12-31,1024169,2486,411.97,604256
2022-01-03,1586574,4918,322.61,690745
2022-01-04,324050,881,367.82,274880
2022-01-05,804248,1634,492.2,453949
2022-01-06,691417,1598,432.68,411032
2022-01-07,137878,685,201.28,103150
2022-01-10,269738,1063,253.75,185990
2022-01-11,224918,701,320.85,152946
2022-01-12,264459,621,425.86,141747
2022-01-13,104231,610,170.87,68479
2022-01-14,784261,1384,566.66,641195
2022-01-17,327177,1106,295.82,257865
2022-01-18,152128,714,213.06,104044
2022-01-19,317108,929,341.34,212719
2022-01-20,889145,1170,759.95,434130
2022-01-21,126709,626,202.41,68480
2022-01-24,67552,345,195.8,51237
2022-01-25,64514,266,242.53,57652
2022-01-27,35910,213,168.59,34585
2022-01-28,61701,414,149.04,39943
2022-01-31,69237,373,185.62,43301
2022-02-01,32126,266,120.77,21058
2022-02-02,236508,497,475.87,190692
2022-02-03,60703,293,207.18,54900
2022-02-04,79731,225,354.36,66493
2022-02-07,32390,210,154.24,21477
2022-02-08,45993,186,247.27,41311
2022-02-09,61632,254,242.65,47177
2022-02-10,35447,194,182.72,31645
2022-02-11,32216,195,165.21,23155
2022-02-14,56316,167,337.22,52455
2022-02-15,22952,198,115.92,16481
2022-02-16,76423,332,230.19,49572
2022-02-17,29595,204,145.07,22589
2022-02-18,12438,101,123.15,9394
2022-02-21,34128,128,266.62,31882
2022-02-22,26613,204,130.46,21140
2022-02-23,77985,280,278.52,70269
2022-02-24,46988,186,252.62,39590
2022-02-25,99688,270,369.21,91030
2022-02-28,21858,153,142.86,15548
2022-03-02,14901,43,346.53,14901
2022-03-03,175310,17,10312.35,175310
2022-03-04,2031288,809,2510.86,1381813
2022-03-08,12324072,2792,4414.07,6225829
2022-03-09,2974847,1268,2346.09,1966227
2022-03-10,2045795,1283,1594.54,1355529
2022-03-11,2815968,1223,2302.51,1254441
2022-03-14,4762818,975,4884.94,3301805
2022-03-15,15505627,1365,11359.43,6933288
2022-03-16,20057512,1871,10720.21,12019468
2022-03-17,7026402,1578,4452.73,4829052
2022-03-21,3331465,1157,2879.4,2111895
2022-03-22,1698244,638,2661.82,1209288
2022-03-23,1073056,514,2087.66,856193
2022-03-24,2722044,536,5078.44,2143071
2022-03-25,1057234,179,5906.34,1057234
2022-03-28,19885016,2054,9681.12,17850556
2022-03-29,17848730,1585,11261.03,15231568
2022-03-30,12997201,797,16307.65,12379490
2022-03-31,685273,211,3247.74,681273
2022-04-01,13240498,2979,4444.61,6243926
2022-04-04,3237692,1204,2689.11,2779787
2022-04-05,10177888,2225,4574.33,6939255
2022-04-06,22626625,2480,9123.64,20911825
2022-04-07,4666579,2492,1872.62,4666579
2022-04-08,2955600,1450,2038.34,2955600
2022-04-11,2447321,1347,1816.87,2447321
2022-04-12,1421927,685,2075.81,1421927
2022-04-13,1730692,884,1957.8,1730692
2022-04-18,9513249,3393,2803.79,9513249
2022-04-19,3373509,1375,2453.46,3373509
2022-04-20,10055440,2627,3827.73,10055440
2022-04-21,9397207,4145,2267.12,9397207
2022-04-22,1162687,1108,1049.36,1162687
2022-04-25,415603,510,814.91,415603
2022-04-26,412881,520,794.0,412881
2022-04-27,435252,494,881.08,435252
2022-04-28,5595129,1847,3029.31,5595129
2022-04-29,1958679,975,2008.9,1958679
2022-05-02,1923478,788,2440.96,1923478
2022-05-04,1232846,767,1607.36,1232846
2022-05-05,2645773,1034,2558.77,2645773
2022-05-06,946492,387,2445.72,946492
2022-05-09,1083036,565,1916.88,1083036
2022-05-10,1028112,647,1589.04,1028112
2022-05-12,1011463,514,1967.83,1011463
2022-05-13,654548,551,1187.93,654548
2022-05-16,736781,351,2099.09,736781
2022-05-17,573784,362,1585.04,573784
2022-05-18,682577,424,1609.85,682577
2022-05-19,297837,404,737.22,297837
2022-05-20,883892,410,2155.83,883892
2022-05-23,1101372,557,1977.33,1101372
2022-05-24,512854,368,1393.62,512854
2022-05-25,6563531,722,9090.76,6563531
2022-05-26,1370817,413,3319.17,1370817
2022-05-27,1417178,541,2619.55,1417178
2022-05-30,841529,547,1538.44,841529
2022-05-31,767141,329,2331.74,767141
2022-06-01,1160620,443,2619.91,1160620
2022-06-02,3246678,595,5456.6,3246678
2022-06-03,3025595,872,3469.72,3025595
2022-06-06,3726484,925,4028.63,3726484
2022-06-07,3508596,1065,3294.46,3508596
2022-06-08,6873818,1018,6752.28,6873818
2022-06-09,2818095,688,4096.07,2818095
2022-06-10,1567841,630,2488.64,1567841
2022-06-13,1326816,494,2685.86,1326816
2022-06-14,269371,296,910.04,269371
2022-06-15,2420430,365,6631.32,2420430
2022-06-16,783442,358,2188.39,783442
2022-06-17,533473,286,1865.29,533473
2022-06-20,1167230,376,3104.34,1167230
2022-06-21,3090248,341,9062.31,2532212
2022-06-22,3586671,259,13848.15,3265679
2022-06-23,7499763,398,18843.63,7428003
2022-06-24,794620,273,2910.7,714005
2022-06-27,2751404,469,5866.53,1568257
2022-06-28,1236724,393,3146.88,920968
2022-06-29,1036079,588,1762.04,645304
2022-06-30,1121862,691,1623.53,810195
2022-07-01,1720356,631,2726.4,640867
2022-07-04,1022347,762,1341.66,748843
2022-07-05,600472,458,1311.07,373080
2022-07-06,467555,321,1456.56,229631
2022-07-07,2496880,510,4895.84,1222501
2022-07-08,627774,334,1879.56,364624
2022-07-11,1011332,382,2647.47,680417
2022-07-12,8162161,545,14976.44,7575616
2022-07-13,688689,423,1628.11,456712
2022-07-14,1057661,513,2061.72,485854
2022-07-15,552000,394,1401.02,334073
2022-07-18,520775,366,1422.88,382582
2022-07-19,1076047,313,3437.85,738065
2022-07-20,3050454,701,4351.57,1647345
2022-07-21,1233346,592,2083.35,965993
2022-07-22,653243,591,1105.32,450738
2022-07-25,531092,460,1154.55,316942
2022-07-26,1094644,621,1762.71,635460
2022-07-27,1256573,638,1969.55,1028713
2022-07-28,1092878,695,1572.49,711020
2022-07-29,1337443,573,2334.11,964881
2022-08-01,739400,486,1521.4,526111
2022-08-02,878731,540,1627.28,596795
2022-08-03,701750,402,1745.65,504434
2022-08-04,1224433,478,2561.58,911526
2022-08-05,1011487,510,1983.31,584163
2022-08-10,1317157,544,2421.24,939534
2022-08-11,767664,442,1736.8,449155
2022-08-12,842741,310,2718.52,586514
2022-08-16,751919,327,2299.45,607319
2022-08-17,1090102,671,1624.59,769770
2022-08-18,386927,348,1111.86,289613
