Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-12-30,8019373,113380,70.73,4183864,
2023-01-02,1510429,34471,43.82,406247,
2023-01-03,647195,15734,41.13,189320,
2023-01-04,733226,14066,52.13,407157,
2023-01-05,164666,6847,24.05,86131,
2023-01-06,232216,8868,26.19,107903,
2023-01-09,217849,10483,20.78,101070,
2023-01-10,171571,6632,25.87,81592,
2023-01-11,123642,5779,21.4,68838,
2023-01-12,174598,7342,23.78,73069,
2023-01-13,511083,11322,45.14,279822,
2023-01-16,567851,16674,34.06,315317,
2023-01-17,119485,4760,25.1,55492,
2023-01-18,85922,4008,21.44,32669,
2023-01-19,148222,6265,23.66,53623,
2023-01-20,57531,2633,21.85,32567,
2023-01-23,86410,3789,22.81,46617,
2023-01-24,87042,5519,15.77,39252,
2023-01-25,72329,3243,22.3,43856,
2023-01-27,107678,5454,19.74,58890,
2023-01-30,91928,4641,19.81,27895,
2023-01-31,96809,7254,13.35,49259,
2023-02-01,110741,6799,16.29,56949,
2023-02-02,115007,8507,13.52,40270,
2023-02-03,144370,9714,14.86,69447,
2023-02-06,41007,2813,14.58,20484,
2023-02-07,87601,5065,17.3,50158,
2023-02-08,115859,4725,24.52,60014,
2023-02-09,73590,2461,29.9,44891,
2023-02-10,155956,4451,35.04,113157,
2023-02-13,502269,15755,31.88,205432,
2023-02-14,239739,11234,21.34,114689,
2023-02-15,244503,8376,29.19,128106,
2023-02-16,250557,10559,23.73,135959,
2023-02-17,115787,5225,22.16,55656,
2023-02-20,80397,2864,28.07,44223,
2023-02-21,242034,10434,23.2,103924,
2023-02-22,115964,4847,23.92,55453,
2023-02-23,76972,3077,25.02,40992,
2023-02-24,69028,3494,19.76,32905,
2023-02-27,137556,11204,12.28,78669,
2023-02-28,134548,13038,10.32,61389,
2023-03-01,138897,16181,8.58,72796,
2023-03-02,189671,17023,11.14,79004,
2023-03-03,188425,12434,15.15,110488,
2023-03-06,265883,12645,21.03,170660,
2023-03-08,97813,4527,21.61,48327,
2023-03-09,120293,8373,14.37,66281,
2023-03-10,87668,4394,19.95,54361,
2023-03-13,103521,8590,12.05,61129,
2023-03-14,205484,16956,12.12,93069,
2023-03-15,68057,6333,10.75,32291,
2023-03-16,86638,9450,9.17,48156,
2023-03-17,62125,6698,9.28,32528,
2023-03-20,125200,9959,12.57,72937,
2023-03-21,54483,6730,8.1,29170,
2023-03-22,84993,8613,9.87,56503,
2023-03-23,60980,4860,12.55,29687,
2023-03-24,131213,12523,10.48,83320,
2023-03-27,217425,16137,13.47,131257,
2023-03-28,432190,13416,32.21,249464,
2023-03-29,337601,8868,38.07,192977,
2023-03-31,200974,6178,32.53,97366,
2023-04-03,491979,12939,38.02,152922,
2023-04-05,185798,4803,38.68,108448,
2023-04-06,180044,5633,31.96,63103,
2023-04-10,114324,3823,29.9,52703,
2023-04-11,106638,3047,35.0,46682,
2023-04-12,72650,2631,27.61,27838,
2023-04-13,71684,2374,30.2,36670,
2023-04-17,131088,4261,30.76,51528
2023-04-18,66463,2269,29.29,33483
2023-04-19,109508,2906,37.68,71700
2023-04-20,85179,2488,34.24,50111
2023-04-21,73930,3653,20.24,40221
2023-04-24,136939,3671,37.3,97169
2023-04-25,59193,2136,27.71,33711
2023-04-26,105847,4643,22.8,53139
2023-04-27,66618,3221,20.68,37473
2023-04-28,157286,4189,37.55,94488
2023-05-02,129047,3411,37.83,98973
2023-05-03,98844,3804,25.98,55514
2023-05-04,430377,11782,36.53,206399
2023-05-05,283587,7950,35.67,149497
2023-05-08,371699,10684,34.79,246531
2023-05-09,156167,3466,45.06,101607
2023-05-10,154482,3684,41.93,103588
2023-05-11,225269,4779,47.14,160889
2023-05-12,209588,3372,62.16,135370
2023-05-15,353207,9298,37.99,168421
2023-05-16,131635,3240,40.63,74919
2023-05-17,187939,3727,50.43,89919
2023-05-18,146508,3439,42.6,79597
2023-05-19,109039,2318,47.04,70854
2023-05-22,349392,6470,54.0,202689
