Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2022-10-17,88025637,353720,248.86,40829704,
2022-10-18,20753358,81035,256.1,9719134,
2022-10-19,1766673,6181,285.82,1764173,
2022-10-20,46568289,220184,211.5,13209857,
2022-10-21,12293211,78174,157.25,5367363,
2022-10-24,3580759,27242,131.44,1936532,
2022-10-25,10314141,53216,193.82,3067758,
2022-10-27,6389929,40446,157.99,2539227,
2022-10-28,5198999,28604,181.76,2262179,
2022-10-31,3284592,21173,155.13,1687094,
2022-11-01,3467171,24960,138.91,1945423,
2022-11-02,13728813,49457,277.59,4637593,
2022-11-03,8029435,33756,237.87,2331890,
2022-11-04,4362854,21849,199.68,1496870,
2022-11-07,5027714,24218,207.6,1615128,
2022-11-09,9603298,37986,252.81,2675681,
2022-11-10,3091224,16731,184.76,1364221,
2022-11-11,7035866,31992,219.93,3401277,
2022-11-14,3775747,29712,127.08,1791907,
2022-11-15,3775747,29712,127.08,1791907,
2022-11-16,2253857,17389,129.61,1124414,
2022-11-17,4064842,20713,196.25,1268588,
2022-11-18,2787333,17943,155.34,1370182,
2022-11-21,1616407,10109,159.9,881978,
2022-11-22,1796376,15918,112.85,1044510,
2022-11-23,2733998,19033,143.65,1187103,
2022-11-24,4411449,20810,211.99,2085443,
2022-11-25,2243553,13030,172.18,930242,
2022-11-28,1360398,14358,94.75,760028,
2022-11-29,945551,6617,142.9,571238,
2022-11-30,1469988,8138,180.63,801309,
2022-12-01,833264,8019,103.91,484185,
2022-12-02,725396,4562,159.01,446663,
2022-12-05,894904,6025,148.53,492887,
2022-12-06,539607,4300,125.49,291947,
2022-12-07,1470547,7839,187.59,837166,
2022-12-08,1097220,6930,158.33,567071,
2022-12-09,1896428,12839,147.71,1096155,
2022-12-12,4754039,22270,213.47,2365229,
2022-12-13,2532217,14293,177.16,1336834,
2022-12-14,1683095,10565,159.31,764405,
2022-12-15,1898429,11200,169.5,1014284,
2022-12-16,993015,5768,172.16,499095,
2022-12-19,1258350,7570,166.23,527156,
2022-12-20,1097795,5749,190.95,515466,
